split_index,detector,train_size,test_size,test_auc,test_average_precision,test_accuracy,test_f1,test_precision,test_recall,tn,fp,fn,tp
1,logistic_regression,28,14,0.7755102040816326,0.869130869130869,0.7857142857142857,0.7692307692307693,0.8333333333333334,0.7142857142857143,6,1,2,5
1,random_forest,28,14,0.8673469387755102,0.9004329004329004,0.7857142857142857,0.7692307692307693,0.8333333333333334,0.7142857142857143,6,1,2,5
2,logistic_regression,28,14,0.7551020408163265,0.8361067503924646,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,5,2,2,5
2,random_forest,28,14,0.9081632653061223,0.9404761904761902,0.9285714285714286,0.9230769230769231,1.0,0.8571428571428571,7,0,1,6
3,logistic_regression,28,14,0.7551020408163265,0.7477118119975263,0.6428571428571429,0.6153846153846154,0.6666666666666666,0.5714285714285714,5,2,3,4
3,random_forest,28,14,0.8775510204081632,0.859750566893424,0.7857142857142857,0.8,0.75,0.8571428571428571,5,2,1,6
4,logistic_regression,28,14,0.673469387755102,0.7491452991452991,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,4,3,3,4
4,random_forest,28,14,0.826530612244898,0.8242424242424242,0.7857142857142857,0.7692307692307693,0.8333333333333334,0.7142857142857143,6,1,2,5
5,logistic_regression,28,14,0.8163265306122449,0.7857142857142858,0.7142857142857143,0.7777777777777778,0.6363636363636364,1.0,3,4,0,7
5,random_forest,28,14,0.8367346938775511,0.7968253968253969,0.7857142857142857,0.8235294117647058,0.7,1.0,4,3,0,7
6,logistic_regression,28,14,0.7755102040816326,0.7779434850863423,0.7142857142857143,0.75,0.6666666666666666,0.8571428571428571,4,3,1,6
6,random_forest,28,14,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,7,0,0,7
7,logistic_regression,28,14,0.7142857142857143,0.7072356215213358,0.7142857142857143,0.75,0.6666666666666666,0.8571428571428571,4,3,1,6
7,random_forest,28,14,0.8571428571428571,0.8809523809523809,0.7857142857142857,0.7692307692307693,0.8333333333333334,0.7142857142857143,6,1,2,5
8,logistic_regression,28,14,0.7346938775510204,0.7980115122972264,0.6428571428571429,0.6153846153846154,0.6666666666666666,0.5714285714285714,5,2,3,4
8,random_forest,28,14,0.9183673469387754,0.9480519480519478,0.8571428571428571,0.8333333333333334,1.0,0.7142857142857143,7,0,2,5
9,logistic_regression,28,14,0.7755102040816326,0.8373376623376623,0.7142857142857143,0.7777777777777778,0.6363636363636364,1.0,3,4,0,7
9,random_forest,28,14,0.7959183673469388,0.7766233766233765,0.7142857142857143,0.7777777777777778,0.6363636363636364,1.0,3,4,0,7
10,logistic_regression,28,14,0.7959183673469388,0.7766233766233765,0.7142857142857143,0.75,0.6666666666666666,0.8571428571428571,4,3,1,6
10,random_forest,28,14,1.0,0.9999999999999998,0.7857142857142857,0.8235294117647058,0.7,1.0,4,3,0,7
11,logistic_regression,28,14,0.7551020408163265,0.8361067503924646,0.7142857142857143,0.6666666666666666,0.8,0.5714285714285714,6,1,3,4
11,random_forest,28,14,0.8367346938775511,0.8909090909090909,0.7857142857142857,0.7272727272727273,1.0,0.5714285714285714,7,0,3,4
12,logistic_regression,28,14,0.7142857142857143,0.781035631035631,0.6428571428571429,0.6666666666666666,0.625,0.7142857142857143,4,3,2,5
12,random_forest,28,14,0.9081632653061223,0.9404761904761902,0.7142857142857143,0.75,0.6666666666666666,0.8571428571428571,4,3,1,6
13,logistic_regression,28,14,0.7959183673469388,0.857535321821036,0.7857142857142857,0.7272727272727273,1.0,0.5714285714285714,7,0,3,4
13,random_forest,28,14,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,7,0,0,7
14,logistic_regression,28,14,0.8163265306122449,0.8523809523809522,0.7142857142857143,0.75,0.6666666666666666,0.8571428571428571,4,3,1,6
14,random_forest,28,14,0.979591836734694,0.982142857142857,0.8571428571428571,0.8333333333333334,1.0,0.7142857142857143,7,0,2,5
15,logistic_regression,28,14,0.8163265306122449,0.8214285714285714,0.7857142857142857,0.8235294117647058,0.7,1.0,4,3,0,7
15,random_forest,28,14,0.979591836734694,0.982142857142857,0.9285714285714286,0.9333333333333333,0.875,1.0,6,1,0,7
16,logistic_regression,28,14,0.7959183673469388,0.8123376623376624,0.6428571428571429,0.6666666666666666,0.625,0.7142857142857143,4,3,2,5
16,random_forest,28,14,0.979591836734694,0.982142857142857,0.9285714285714286,0.9333333333333333,0.875,1.0,6,1,0,7
17,logistic_regression,28,14,0.7755102040816326,0.834065934065934,0.7142857142857143,0.6,1.0,0.42857142857142855,7,0,4,3
17,random_forest,28,14,0.9489795918367347,0.947845804988662,0.8571428571428571,0.8333333333333334,1.0,0.7142857142857143,7,0,2,5
18,logistic_regression,28,14,0.7551020408163265,0.7639455782312925,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,5,2,2,5
18,random_forest,28,14,1.0,0.9999999999999998,0.9285714285714286,0.9333333333333333,0.875,1.0,6,1,0,7
19,logistic_regression,28,14,0.7142857142857143,0.7947802197802196,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,4,3,3,4
19,random_forest,28,14,0.826530612244898,0.8864468864468864,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,5,2,2,5
20,logistic_regression,28,14,0.8163265306122448,0.8612768184196755,0.7142857142857143,0.6666666666666666,0.8,0.5714285714285714,6,1,3,4
20,random_forest,28,14,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,7,0,0,7
21,logistic_regression,28,14,0.7551020408163265,0.8361067503924646,0.7142857142857143,0.6666666666666666,0.8,0.5714285714285714,6,1,3,4
21,random_forest,28,14,0.7448979591836734,0.7456305599162742,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,5,2,2,5
22,logistic_regression,28,14,0.7755102040816326,0.7779434850863423,0.7142857142857143,0.6666666666666666,0.8,0.5714285714285714,6,1,3,4
22,random_forest,28,14,0.8469387755102041,0.8599567099567098,0.6428571428571429,0.4444444444444444,1.0,0.2857142857142857,7,0,5,2
23,logistic_regression,28,14,0.836734693877551,0.889848246991104,0.7142857142857143,0.6,1.0,0.42857142857142855,7,0,4,3
23,random_forest,28,14,0.9591836734693878,0.9617346938775511,0.6428571428571429,0.4444444444444444,1.0,0.2857142857142857,7,0,5,2
24,logistic_regression,28,14,0.7346938775510204,0.7507326007326007,0.6428571428571429,0.5454545454545454,0.75,0.42857142857142855,6,1,4,3
24,random_forest,28,14,0.7959183673469388,0.8310451453308596,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,5,2,2,5
25,logistic_regression,28,14,0.7142857142857143,0.7947802197802196,0.6428571428571429,0.6666666666666666,0.625,0.7142857142857143,4,3,2,5
25,random_forest,28,14,0.826530612244898,0.7953308596165738,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,6,1,1,6
26,logistic_regression,28,14,0.7551020408163265,0.8328754578754578,0.7857142857142857,0.7272727272727273,1.0,0.5714285714285714,7,0,3,4
