feature,cover_mean,stego_mean,delta_mean,delta_std,mean_abs_delta,paired_effect_size_dz
mean_intensity,114.01446751185826,114.01446896507626,1.4532180059523809e-06,1.144265002152479e-05,8.719308035714285e-06,0.12700011590135277
std_intensity,56.1514162336077,56.13926278977167,-0.012153443836030505,0.0016603922960751042,0.012153443836030505,-7.319621909496711
median_intensity,113.71428571428571,113.71428571428571,0.0,0.0,0.0,0.0
mad_intensity,42.642857142857146,42.595238095238095,-0.047619047619047616,0.1467717619754518,0.047619047619047616,-0.3244428422593146
lsb_mean,0.5016254243396577,0.49702308291480657,-0.00460234142485119,0.0004559307931344768,0.00460234142485119,-10.094385999059606
lsb_h_agreement,0.5447748891223154,0.5477598330999067,0.0029849439775910445,0.0005650473863649321,0.0029849439775910445,5.282643623061721
lsb_v_agreement,0.5601350957049487,0.563000408496732,0.002865312791783391,0.0008895924497395415,0.002865312791783391,3.2209275038264784
pair_balance_mean,0.0004038810729980469,0.00041094280424572175,7.0617312476748515e-06,1.1941681960607917e-05,1.1761983235677084e-05,0.5913514260066539
pair_balance_std,0.0007493554656453521,0.0007521611917975424,2.8057261521902725e-06,1.2230720144243923e-05,9.862370554112905e-06,0.22939989548455333
pair_balance_max,0.0062408447265625,0.006247384207589286,6.539481026785714e-06,0.00014640044491596654,0.00010245186941964286,0.04466845019406128
pair_mass_std,0.00605915055428226,0.006058862231337274,-2.883229449857248e-07,2.156229725583036e-06,1.530664612015637e-06,-0.13371618424914314
residual_mean,0.0005945478166852679,0.0005945478166852679,0.0,0.0,0.0,0.0
residual_std,2.3128739212614238,2.303371620820692,-0.009502300440731684,0.003017929319385391,0.009502300440731684,-3.1486159654389243
residual_mean_abs,1.3572436741420202,1.3515575953892298,-0.005686078752790179,0.001881688239576411,0.005686078752790179,-3.0217964007939924
residual_skew,0.0008305069532962997,-0.0026800992442106747,-0.0035106061975069785,0.005250010253444757,0.005236930858290359,-0.6686855886681047
residual_excess_kurtosis,9.597976033326656,9.67341331516512,0.07543728183846624,0.029377198626733735,0.07543728183846624,2.5678854813354866
lap_mean,0.0023781912667410715,0.0023781912667410715,0.0,0.0,0.0,0.0
lap_std,9.251495685045695,9.213486483282768,-0.038009201762926735,0.012071717277541564,0.038009201762926735,-3.1486159662214015
lap_mean_abs,5.428974696568081,5.406230381556919,-0.022744315011160716,0.007526752958305644,0.022744315011160716,-3.0217964019984143
lap_skew,0.0008305069532962997,-0.0026800992442106747,-0.0035106061975069785,0.005250010253444757,0.005236930858290359,-0.6686855886681047
lap_excess_kurtosis,9.597976033326656,9.67341331516512,0.07543728183846624,0.029377198626733735,0.07543728183846624,2.5678854813354866
grad_mean,6.305314532366971,6.29954361695378,-0.0057709154131901285,0.0010913554571952363,0.0057709154131901285,-5.287842168978963
grad_std,7.9235441133112605,7.890384536281188,-0.03315957703007071,0.0024954034335747844,0.03315957703007071,-13.288262960061642
grad_skew,2.736693465221724,2.72070249754034,-0.01599096768138386,0.004141511288234289,0.01599096768138386,-3.861143086329816
grad_excess_kurtosis,10.11531812758864,10.017424662485642,-0.09789346510299887,0.04394838992092029,0.10242414273127927,-2.2274641978220053
coarse_hist_bin_00,0.03426978701636905,0.034243629092261904,-2.6157924107142856e-05,2.8698756129864645e-05,2.6157924107142856e-05,-0.9114653986155472
coarse_hist_bin_01,0.06676374162946429,0.0667143322172619,-4.940941220238095e-05,3.8228197189958576e-05,5.0862630208333336e-05,-1.2924860323487428
coarse_hist_bin_02,0.07253955659412202,0.07248942057291667,-5.013602120535714e-05,5.096632579040581e-05,6.176176525297619e-05,-0.9837087418823958
coarse_hist_bin_03,0.06726582845052083,0.06727745419456846,1.1625744047619047e-05,8.945852351630536e-05,7.411411830357142e-05,0.1299568052399529
coarse_hist_bin_04,0.0833769298735119,0.08341035388764881,3.3424014136904765e-05,8.365791227576413e-05,7.411411830357142e-05,0.399532008726158
coarse_hist_bin_05,0.09236871628534227,0.09239850725446429,2.979096912202381e-05,8.469281727866564e-05,8.35600353422619e-05,0.35175319144537476
coarse_hist_bin_06,0.08447992234002977,0.08451334635416667,3.3424014136904765e-05,0.00010948915181257298,8.864629836309523e-05,0.3052723788457936
coarse_hist_bin_07,0.08500308082217262,0.08502633231026786,2.3251488095238094e-05,7.289304434049743e-05,6.83012462797619e-05,0.3189808847555473
coarse_hist_bin_08,0.08122907366071429,0.08124433244977679,1.52587890625e-05,6.507918468910748e-05,5.885532924107143e-05,0.2344649660398857
coarse_hist_bin_09,0.0739411853608631,0.07393391927083333,-7.266090029761904e-06,8.365791227576412e-05,7.266090029761905e-05,-0.08685478450568652
coarse_hist_bin_10,0.06737627301897321,0.06738862537202381,1.2352353050595238e-05,8.392255346668591e-05,6.321498325892858e-05,0.1471875246063757
coarse_hist_bin_11,0.06330217633928571,0.06331452869233631,1.2352353050595238e-05,4.175315609467611e-05,3.705705915178571e-05,0.2958423724123671
coarse_hist_bin_12,0.05392238071986607,0.053919474283854164,-2.9064360119047617e-06,3.2834366651829325e-05,2.6157924107142856e-05,-0.08851810525861713
coarse_hist_bin_13,0.03640020461309524,0.036387125651041664,-1.3078962053571428e-05,4.219340338122552e-05,3.0517578125e-05,-0.30997645829666864
coarse_hist_bin_14,0.025073096865699404,0.025060017903645832,-1.3078962053571428e-05,2.7972087394961635e-05,1.598539806547619e-05,-0.46757188340385863
coarse_hist_bin_15,0.012688046409970238,0.012678600492931548,-9.445917038690477e-06,1.728657641219413e-05,9.445917038690477e-06,-0.5464307256118397
