cover_index,cover_name,variant,seed_used,secret_one_fraction,mse,psnr_db,ber,selected_basis_match_ratio,changed_pixels_all,fraction_pixels_changed_all,positive_changes,negative_changes,signed_change_sum,signed_change_imbalance_ratio
1,00000.png,plain_payload,616753,0.425537109375,0.0313262939453125,63.171713421071544,0.0,1.0,2053,0.0313262939453125,1027,1026,1,0.0004870920603994153
2,00001.png,plain_payload,240366,0.425537109375,0.029632568359375,63.41311065904968,0.0,1.0,1942,0.029632568359375,971,971,0,0.0
3,00002.png,plain_payload,86358,0.425537109375,0.031402587890625,63.161149210513656,0.0,1.0,2058,0.031402587890625,1029,1029,0,0.0
4,00003.png,plain_payload,54611,0.425537109375,0.0318603515625,63.098297971477535,0.0,1.0,2088,0.0318603515625,1044,1044,0,0.0
5,00004.png,plain_payload,789445,0.425537109375,0.031005859375,63.216365878657214,0.0,1.0,2032,0.031005859375,1016,1016,0,0.0
6,00005.png,plain_payload,379532,0.425537109375,0.0318145751953125,63.104542321681826,0.0,1.0,2085,0.0318145751953125,1042,1043,-1,0.00047961630695443624
7,00006.png,plain_payload,129377,0.425537109375,0.0318145751953125,63.104542321681826,0.0,1.0,2085,0.0318145751953125,1043,1042,1,0.00047961630695443624
8,00010.png,plain_payload,520039,0.425537109375,0.0314178466796875,63.159039448597554,0.0,1.0,2059,0.0314178466796875,1030,1029,1,0.00048567265662943153
9,00011.png,plain_payload,106271,0.425537109375,0.030731201171875,63.255008252598785,0.0,1.0,2014,0.030731201171875,1007,1007,0,0.0
10,00012.png,plain_payload,396893,0.425537109375,0.0312957763671875,63.17594631109366,0.0,1.0,2051,0.0312957763671875,1025,1026,-1,0.0004875670404680641
11,00013.png,plain_payload,362921,0.425537109375,0.032196044921875,63.05277836180427,0.0,1.0,2110,0.032196044921875,1055,1055,0,0.0
12,00014.png,plain_payload,358501,0.425537109375,0.0311737060546875,63.192919248452306,0.0,1.0,2043,0.0311737060546875,1022,1021,1,0.0004894762604013704
13,00015.png,plain_payload,131695,0.425537109375,0.0307464599609375,63.25285241000357,0.0,1.0,2015,0.0307464599609375,1007,1008,-1,0.0004962779156327541
14,00016.png,plain_payload,478235,0.425537109375,0.0311279296875,63.199301240517585,0.0,1.0,2040,0.0311279296875,1020,1020,0,0.0
15,00020.png,plain_payload,973927,0.425537109375,0.0314788818359375,63.15061063504661,0.0,1.0,2063,0.0314788818359375,1032,1031,1,0.00048473097430925817
16,00021.png,plain_payload,760666,0.425537109375,0.0319366455078125,63.08791063139324,0.0,1.0,2093,0.0319366455078125,1046,1047,-1,0.00047778308647873847
17,00022.png,plain_payload,678814,0.425537109375,0.03143310546875,63.156930711086396,0.0,1.0,2060,0.03143310546875,1030,1030,0,0.0
18,00023.png,plain_payload,108041,0.425537109375,0.0328216552734375,62.96919881090915,0.0,1.0,2151,0.0328216552734375,1076,1075,1,0.00046490004649000447
19,00024.png,plain_payload,421955,0.425537109375,0.0314178466796875,63.159039448597554,0.0,1.0,2059,0.0314178466796875,1029,1030,-1,0.00048567265662943153
20,00025.png,plain_payload,9066,0.425537109375,0.03167724609375,63.123329423014795,0.0,1.0,2076,0.03167724609375,1038,1038,0,0.0
21,00026.png,plain_payload,156701,0.425537109375,0.0311126708984375,63.20143065699511,0.0,1.0,2039,0.0311126708984375,1020,1019,1,0.0004904364884747423
