rank,row,col,utility,suitability,basis_match,block_row,block_col
1,106,70,0.98478997,0.9766,1,6,4
2,92,70,0.98452854,0.9761977,1,5,4
3,85,64,0.9806931,0.97029704,1,5,4
4,78,89,0.973771,0.9596477,1,4,5
5,100,64,0.97343516,0.9591311,1,6,4
6,77,60,0.9658023,0.9473883,1,4,3
7,92,89,0.95524025,0.9311388,1,5,5
8,98,64,0.95416594,0.92948616,1,6,4
9,85,63,0.9518775,0.9259653,1,5,3
10,77,89,0.9505373,0.92390364,1,4,5
11,78,90,0.95012605,0.9232708,1,4,5
12,86,64,0.945519,0.9161831,1,5,4
13,105,70,0.9441434,0.9140668,1,6,4
14,84,64,0.9432739,0.91272914,1,5,4
15,99,76,0.9413017,0.90969497,1,6,4
16,100,63,0.93942595,0.90680915,1,6,3
17,107,71,0.9384701,0.90533864,1,6,4
18,98,63,0.93656564,0.9024087,1,6,3
19,77,70,0.9362606,0.90193933,1,4,4
20,85,83,0.93089235,0.89368063,1,5,5
21,92,71,0.9298645,0.89209926,1,5,4
22,79,70,0.92832994,0.8897385,1,4,4
23,77,90,0.92769146,0.8887561,1,4,5
24,99,77,0.9272845,0.88813,1,6,4
25,92,90,0.92670715,0.8872417,1,5,5
26,106,69,0.9209198,0.87833816,1,6,4
27,100,76,0.9201286,0.87712085,1,6,4
28,78,71,0.9189284,0.8752744,1,4,4
29,79,90,0.9160185,0.8707977,1,4,5
30,86,63,0.916018,0.870797,1,5,3
31,107,87,0.9137083,0.8672437,1,6,5
32,93,71,0.9115386,0.8639056,1,5,4
33,85,76,0.9113451,0.8636079,1,5,4
34,100,65,0.9112129,0.86340445,1,6,4
35,91,89,0.90878177,0.8596644,1,5,5
36,93,90,0.9052303,0.85420054,1,5,5
37,96,61,0.9041474,0.8525344,1,6,3
38,71,76,0.9026805,0.8502777,1,4,4
39,78,69,0.90259993,0.8501538,1,4,4
40,99,94,0.9013277,0.8481966,1,6,5
41,98,76,0.8974415,0.8422177,1,6,4
42,91,90,0.89638925,0.84059894,1,5,5
43,107,69,0.89604473,0.8400689,1,6,4
44,103,67,0.8957149,0.8395614,1,6,4
45,91,69,0.89463997,0.83790773,1,5,4
46,105,71,0.89283526,0.8351312,1,6,4
47,93,69,0.88834894,0.82822925,1,5,4
48,84,83,0.8880017,0.82769495,1,5,5
49,86,83,0.8860023,0.82461905,1,5,5
50,92,83,0.88296294,0.819943,1,5,5
51,78,88,0.88268423,0.81951416,1,4,5
52,71,67,0.88041544,0.81602377,1,4,4
53,77,69,0.87933147,0.8143561,1,4,4
54,107,83,0.8764442,0.8099143,1,6,5
55,88,67,0.8762044,0.80954516,1,5,4
56,79,59,0.8751105,0.8078623,1,4,3
57,102,66,0.8740611,0.80624783,1,6,4
58,95,73,0.873492,0.8053724,1,5,4
59,78,77,0.87294054,0.804524,1,4,4
60,92,58,0.8699038,0.79985195,1,5,3
61,72,76,0.86864805,0.79792005,1,4,4
62,70,76,0.86682105,0.79510933,1,4,4
63,98,65,0.8668144,0.7950991,1,6,4
64,84,77,0.8641213,0.79095596,1,5,4
65,93,83,0.86190844,0.7875514,1,5,5
66,103,68,0.86188805,0.78752005,1,6,4
67,103,80,0.8618586,0.7874749,1,6,5
68,103,66,0.86039674,0.78522587,1,6,4
69,70,81,0.85959744,0.78399616,1,4,5
70,98,83,0.85901976,0.78310734,1,6,5
71,78,76,0.8588593,0.7828605,1,4,4
72,85,95,0.8587214,0.7826484,1,5,5
73,148,166,0.85739994,0.78061527,1,9,10
74,76,61,0.856578,0.77935076,1,4,3
75,85,84,0.8565569,0.77931833,1,5,5
76,70,82,0.8546269,0.77634907,1,4,5
77,76,89,0.8538102,0.7750927,1,4,5
78,101,63,0.8530868,0.77397984,1,6,3
79,104,68,0.8526182,0.77325886,1,6,4
80,89,66,0.8522632,0.7727127,1,5,4
81,107,82,0.85154974,0.77161497,1,6,5
82,92,76,0.8510871,0.77090335,1,5,4
83,72,77,0.84987736,0.7690421,1,4,4
84,99,82,0.84931684,0.76817983,1,6,5
85,89,80,0.84875953,0.76732236,1,5,5
86,103,79,0.84761137,0.765556,1,6,4
87,105,83,0.8475213,0.7654174,1,6,5
88,74,86,0.8474411,0.76529396,1,4,5
89,92,82,0.84677786,0.76427364,1,5,5
90,84,82,0.8467083,0.7641667,1,5,5
91,87,64,0.84583503,0.76282316,1,5,4
92,84,84,0.84516764,0.76179636,1,5,5
93,81,73,0.84515214,0.7617726,1,5,4
94,69,79,0.8438269,0.75973374,1,4,4
95,74,73,0.84379745,0.7596884,1,4,4
96,97,61,0.84377134,0.75964826,1,6,3
97,93,88,0.8433693,0.75902975,1,5,5
98,83,63,0.84233874,0.75744426,1,5,3
99,76,90,0.84123725,0.75574964,1,4,5
100,107,68,0.84110105,0.75554013,1,6,4
101,83,64,0.8408612,0.7551711,1,5,4
102,82,93,0.839449,0.7529985,1,5,5
103,191,163,0.83930075,0.7527704,1,11,10
104,99,75,0.8389491,0.7522294,1,6,4
105,75,86,0.8387159,0.7518707,1,4,5
106,102,79,0.8383907,0.7513704,1,6,4
107,91,88,0.8371351,0.74943864,1,5,5
108,199,195,0.83707297,0.7493431,1,12,12
109,95,59,0.837057,0.7493185,1,5,3
110,147,168,0.83701515,0.7492541,1,9,10
111,81,86,0.8367876,0.74890405,1,5,5
112,91,83,0.8367144,0.74879146,1,5,5
113,101,66,0.83642316,0.7483434,1,6,4
114,149,195,0.8361689,0.7479521,1,9,12
115,84,95,0.8360001,0.7476924,1,5,5
116,88,68,0.8340833,0.74474365,1,5,4
117,100,89,0.83338,0.7436615,1,6,5
118,98,75,0.833078,0.74319696,1,6,4
119,200,195,0.83298004,0.7430463,1,12,12
120,105,82,0.83285725,0.7428574,1,6,5
121,69,80,0.8326038,0.7424674,1,4,5
122,72,82,0.83225375,0.7419289,1,4,5
123,86,84,0.8314773,0.7407343,1,5,5
124,79,77,0.83095664,0.7399333,1,4,4
125,85,89,0.8306097,0.7393995,1,5,5
126,191,164,0.8305799,0.7393537,1,11,10
127,70,79,0.8301798,0.73873824,1,4,4
128,93,76,0.82881314,0.7366356,1,5,4
129,92,59,0.8281702,0.7356464,1,5,3
130,156,159,0.8274462,0.7345327,1,9,9
131,83,62,0.82731885,0.73433673,1,5,3
132,76,71,0.8271781,0.7341202,1,4,4
133,75,67,0.82708526,0.7339774,1,4,4
134,157,187,0.82671326,0.73340505,1,9,11
135,191,188,0.8265915,0.7332177,1,11,11
136,104,67,0.8264264,0.73296374,1,6,4
137,90,70,0.82632226,0.7328035,1,5,4
138,71,84,0.8259996,0.7323071,1,4,5
139,81,74,0.8255123,0.7315574,1,5,4
140,80,59,0.8254062,0.7313941,1,5,3
141,97,60,0.82465017,0.7302311,1,6,3
142,94,72,0.82449406,0.7299909,1,5,4
143,81,80,0.82440937,0.72986066,1,5,5
144,149,166,0.824208,0.7295509,1,9,10
145,91,82,0.82399714,0.72922647,1,5,5
146,96,93,0.82380277,0.7289274,1,6,5
147,93,77,0.8235971,0.72861093,1,5,4
148,95,87,0.82353115,0.72850955,1,5,5
149,99,90,0.8233832,0.7282819,1,6,5
150,84,94,0.82324445,0.7280684,1,5,5
151,87,63,0.8225411,0.7269864,1,5,3
152,76,88,0.82228625,0.7265942,1,4,5
153,96,72,0.8222133,0.726482,1,6,4
154,81,67,0.82173586,0.72574747,1,5,4
155,76,69,0.8208301,0.7243541,1,4,4
156,74,67,0.8205649,0.7239461,1,4,4
157,107,84,0.8203846,0.72366863,1,6,5
158,80,90,0.8203387,0.7235981,1,5,5
159,97,74,0.8193026,0.72200406,1,6,4
160,158,187,0.819186,0.72182465,1,9,11
161,147,167,0.81836385,0.7205598,1,9,10
162,104,70,0.81783354,0.71974397,1,6,4
163,107,72,0.8172864,0.7189022,1,6,4
164,192,188,0.81727755,0.7188886,1,12,11
165,96,87,0.8171768,0.7187336,1,6,5
166,103,86,0.8169551,0.7183925,1,6,5
167,100,78,0.8166801,0.7179694,1,6,4
168,192,159,0.81648433,0.7176683,1,12,9
169,182,195,0.8153678,0.71595055,1,11,12
170,157,188,0.81515,0.7156154,1,9,11
171,100,62,0.81439275,0.7144504,1,6,3
172,86,94,0.81419724,0.71414965,1,5,5
173,74,87,0.8140448,0.71391505,1,4,5
174,83,94,0.81393105,0.7137401,1,5,5
175,97,75,0.8137224,0.713419,1,6,4
176,90,67,0.8136444,0.7132991,1,5,4
177,82,67,0.8132782,0.7127358,1,5,4
178,95,85,0.8119036,0.71062094,1,5,5
179,75,80,0.8114037,0.70985186,1,4,5
180,106,76,0.81111944,0.7094146,1,6,4
181,192,164,0.81095237,0.7091575,1,12,10
182,80,69,0.81081855,0.70895165,1,5,4
183,192,160,0.8106329,0.708666,1,12,10
184,174,187,0.8100091,0.7077064,1,10,11
185,190,163,0.8096788,0.70719814,1,11,10
186,94,69,0.809484,0.70689845,1,5,4
187,145,183,0.808879,0.7059677,1,9,11
188,98,89,0.8088129,0.70586604,1,6,5
189,183,196,0.80875695,0.70577997,1,11,12
190,82,85,0.80790913,0.7044756,1,5,5
191,103,81,0.80737233,0.7036498,1,6,5
192,75,68,0.8069166,0.70294863,1,4,4
193,79,91,0.8065009,0.7023092,1,4,5
194,76,60,0.80634785,0.7020737,1,4,3
195,102,86,0.80634415,0.702068,1,6,5
196,156,158,0.806064,0.70163697,1,9,9
197,191,203,0.8056869,0.7010568,1,11,12
198,200,196,0.8056715,0.7010331,1,12,12
199,190,164,0.8056074,0.70093447,1,11,10
200,149,179,0.8055227,0.7008042,1,9,11
201,158,188,0.80529976,0.70046115,1,9,11
202,74,79,0.8051502,0.70023113,1,4,4
203,166,195,0.80499065,0.6999857,1,10,12
204,104,71,0.80473006,0.6995848,1,6,4
205,96,59,0.80467653,0.69950235,1,6,3
206,148,196,0.8044323,0.69912666,1,9,12
207,149,194,0.80416614,0.6987172,1,9,12
208,199,196,0.8036717,0.69795656,1,12,12
209,70,75,0.80354404,0.69776016,1,4,4
210,157,158,0.8023628,0.6959428,1,9,9
211,85,90,0.8021272,0.6955803,1,5,5
212,102,81,0.8021177,0.69556576,1,6,5
213,175,187,0.80160034,0.6947698,1,10,11
214,75,72,0.8012404,0.694216,1,4,4
215,75,79,0.801074,0.69396013,1,4,4
216,80,88,0.80057037,0.69318515,1,5,5
217,165,195,0.8005316,0.69312567,1,10,12
218,81,72,0.7994578,0.6914736,1,5,4
219,86,89,0.79926693,0.6911799,1,5,5
220,147,199,0.7989334,0.69066674,1,9,12
221,192,162,0.79827845,0.68965924,1,12,10
222,93,84,0.79818654,0.68951786,1,5,5
223,105,68,0.79794747,0.68915,1,6,4
224,108,85,0.79775774,0.6888581,1,6,5
225,94,58,0.7976608,0.688709,1,5,3
226,88,81,0.7965652,0.68702334,1,5,5
227,157,209,0.79633486,0.6866691,1,9,13
228,156,188,0.7963345,0.6866685,1,9,11
229,89,60,0.79630387,0.6866214,1,5,3
230,83,75,0.7960304,0.6862006,1,5,4
231,89,73,0.79572964,0.68573797,1,5,4
232,148,180,0.7955853,0.6855158,1,9,11
233,88,61,0.79540515,0.6852387,1,5,3
234,82,87,0.795149,0.6848447,1,5,5
235,198,195,0.7950428,0.6846813,1,12,12
236,147,200,0.79494894,0.6845369,1,9,12
237,104,80,0.7946513,0.684079,1,6,5
238,81,91,0.79454684,0.68391824,1,5,5
239,201,194,0.7944873,0.6838266,1,12,12
240,75,85,0.79397327,0.68303585,1,4,5
241,79,82,0.7937658,0.68271667,1,4,5
242,83,83,0.7925042,0.6807757,1,5,5
243,156,187,0.7924301,0.68066174,1,9,11
244,69,74,0.7922059,0.6803168,1,4,4
245,91,68,0.79177177,0.67964894,1,5,4
246,71,86,0.7916465,0.6794561,1,4,5
247,182,196,0.7916333,0.6794359,1,11,12
248,175,188,0.7914632,0.6791742,1,10,11
249,83,61,0.79068553,0.6779778,1,5,3
250,94,61,0.7904323,0.67758816,1,5,3
251,80,68,0.7904055,0.67754704,1,5,4
252,191,186,0.79015785,0.677166,1,11,11
253,103,74,0.78977257,0.6765732,1,6,4
254,145,184,0.7895075,0.67616546,1,9,11
255,148,179,0.78941166,0.676018,1,9,11
256,184,196,0.7892015,0.6756946,1,11,12
257,102,78,0.7891309,0.6755861,1,6,4
258,183,194,0.7890564,0.6754714,1,11,12
259,101,75,0.7889774,0.67534983,1,6,4
260,71,78,0.7888897,0.67521495,1,4,4
261,95,80,0.7887948,0.675069,1,5,5
262,187,168,0.7887374,0.67498064,1,11,10
263,73,74,0.78867954,0.67489165,1,4,4
264,97,93,0.7879988,0.6738444,1,6,5
265,96,75,0.78778374,0.6735135,1,6,4
266,73,75,0.7876009,0.67323214,1,4,4
267,147,198,0.78727585,0.6727321,1,9,12
268,109,72,0.7869698,0.67226124,1,6,4
269,153,175,0.7865232,0.6715742,1,9,10
270,74,72,0.7864808,0.67150897,1,4,4
271,148,194,0.7864282,0.671428,1,9,12
272,183,171,0.78616357,0.67102087,1,11,10
273,104,81,0.7861563,0.67100966,1,6,5
274,105,72,0.7861518,0.67100286,1,6,4
275,85,71,0.7861448,0.670992,1,5,4
276,88,73,0.7856759,0.6702706,1,5,4
277,166,196,0.7854026,0.6698502,1,10,12
278,103,85,0.7852466,0.66961014,1,6,5
279,78,84,0.7851677,0.66948885,1,4,5
280,89,74,0.7849443,0.66914517,1,5,4
281,108,83,0.78480446,0.66893,1,6,5
282,97,85,0.78451616,0.6684864,1,6,5
283,188,167,0.7844839,0.6684369,1,11,10
284,193,163,0.7840994,0.66784525,1,12,10
285,73,83,0.78356934,0.66702974,1,4,5
286,150,194,0.7834197,0.6667996,1,9,12
287,76,68,0.7832331,0.6665125,1,4,4
288,88,94,0.78320783,0.6664736,1,5,5
