rank,row,col,utility,suitability,basis_match
1,106,70,0.98478997,0.9766,1
2,92,70,0.98452854,0.9761977,1
3,85,64,0.9806931,0.97029704,1
4,78,89,0.973771,0.9596477,1
5,100,64,0.97343516,0.9591311,1
6,77,60,0.9658023,0.9473883,1
7,92,89,0.95524025,0.9311388,1
8,98,64,0.95416594,0.92948616,1
9,85,63,0.9518775,0.9259653,1
10,77,89,0.9505373,0.92390364,1
11,106,71,0.9503795,0.9236608,1
12,78,90,0.95012605,0.9232708,1
13,86,64,0.945519,0.9161831,1
14,105,70,0.9441434,0.9140668,1
15,84,64,0.9432739,0.91272914,1
16,99,76,0.9413017,0.90969497,1
17,100,63,0.93942595,0.90680915,1
18,107,71,0.9384701,0.90533864,1
19,98,63,0.93656564,0.9024087,1
20,77,70,0.9362606,0.90193933,1
21,85,83,0.93089235,0.89368063,1
22,92,71,0.9298645,0.89209926,1
23,79,70,0.92832994,0.8897385,1
24,77,90,0.92769146,0.8887561,1
25,99,77,0.9272845,0.88813,1
26,92,90,0.92670715,0.8872417,1
27,106,69,0.9209198,0.87833816,1
28,100,76,0.9201286,0.87712085,1
29,78,71,0.9189284,0.8752744,1
30,79,90,0.9160185,0.8707977,1
31,86,63,0.916018,0.870797,1
32,107,87,0.9137083,0.8672437,1
33,93,71,0.9115386,0.8639056,1
34,85,76,0.9113451,0.8636079,1
35,100,65,0.9112129,0.86340445,1
36,91,89,0.90878177,0.8596644,1
37,99,83,0.9063122,0.85586494,1
38,93,90,0.9052303,0.85420054,1
39,96,61,0.9041474,0.8525344,1
40,71,76,0.9026805,0.8502777,1
41,78,69,0.90259993,0.8501538,1
42,99,94,0.9013277,0.8481966,1
43,98,76,0.8974415,0.8422177,1
44,91,90,0.89638925,0.84059894,1
45,107,69,0.89604473,0.8400689,1
46,103,67,0.8957149,0.8395614,1
47,91,69,0.89463997,0.83790773,1
48,105,71,0.89283526,0.8351312,1
49,101,93,0.8915924,0.8332192,1
50,93,69,0.88834894,0.82822925,1
51,84,83,0.8880017,0.82769495,1
52,86,83,0.8860023,0.82461905,1
53,85,82,0.8831215,0.8201869,1
54,92,83,0.88296294,0.819943,1
55,78,88,0.88268423,0.81951416,1
56,84,76,0.88117194,0.8171876,1
57,71,67,0.88041544,0.81602377,1
58,79,71,0.88017964,0.81566095,1
59,77,69,0.87933147,0.8143561,1
60,100,83,0.87727475,0.81119204,1
61,107,83,0.8764442,0.8099143,1
62,88,67,0.8762044,0.80954516,1
63,96,73,0.87518704,0.8079801,1
64,79,59,0.8751105,0.8078623,1
65,102,66,0.8740611,0.80624783,1
66,95,73,0.873492,0.8053724,1
67,78,77,0.87294054,0.804524,1
68,92,58,0.8699038,0.79985195,1
69,106,82,0.86917806,0.79873556,1
70,72,76,0.86864805,0.79792005,1
71,86,77,0.8685913,0.7978329,1
72,86,76,0.8673012,0.795848,1
73,70,76,0.86682105,0.79510933,1
74,98,65,0.8668144,0.7950991,1
75,84,77,0.8641213,0.79095596,1
