rank,row,col,utility,suitability,basis_match,block_row,block_col
1,77,60,1.0,1.0,1,4,3
2,106,70,0.9854423,0.9776036,1,6,4
3,92,70,0.98521876,0.9772597,1,5,4
4,85,64,0.978526,0.9669631,1,5,4
5,78,89,0.9723444,0.957453,1,4,5
6,100,64,0.9692482,0.9526895,1,6,4
7,92,89,0.95650005,0.9330771,1,5,5
8,98,64,0.9522269,0.926503,1,6,4
9,85,63,0.95027006,0.9234924,1,5,3
10,77,89,0.94912434,0.92172974,1,4,5
11,106,71,0.9489893,0.921522,1,6,4
12,78,90,0.94877255,0.9211886,1,4,5
13,107,87,0.94598377,0.91689813,1,6,5
14,86,64,0.94162655,0.9101948,1,5,4
15,99,76,0.94122756,0.90958095,1,6,4
16,105,70,0.94045043,0.90838534,1,6,4
17,84,64,0.93942225,0.9068034,1,5,4
18,107,71,0.9364481,0.9022279,1,6,4
19,100,63,0.93620336,0.90185136,1,6,3
20,77,70,0.93342566,0.89757794,1,4,4
21,98,63,0.9328983,0.89676654,1,6,3
22,85,83,0.93232715,0.89588803,1,5,5
23,92,71,0.9282415,0.8896023,1,5,4
24,79,70,0.9266447,0.8871457,1,4,4
25,77,90,0.9263835,0.88674396,1,4,5
26,99,77,0.925822,0.8858801,1,6,4
27,92,90,0.9252571,0.88501096,1,5,5
28,99,94,0.924153,0.88331234,1,6,5
29,106,69,0.92094815,0.8783817,1,6,4
30,100,76,0.9196322,0.8763573,1,6,4
31,78,71,0.91860604,0.8747785,1,4,4
32,71,67,0.9175173,0.8731036,1,4,4
33,101,93,0.9151999,0.86953825,1,6,5
34,79,90,0.9133619,0.8667106,1,4,5
35,86,63,0.9129915,0.8661409,1,5,3
36,85,76,0.9121934,0.8649129,1,5,4
37,100,65,0.9079133,0.8583282,1,6,4
38,99,83,0.9078902,0.8582926,1,6,5
39,93,71,0.90736187,0.8574798,1,5,4
40,91,89,0.90658176,0.8562796,1,5,5
41,71,76,0.9047849,0.8535153,1,4,4
42,93,90,0.90413773,0.8525196,1,5,5
43,96,61,0.90372646,0.851887,1,6,3
44,78,69,0.90122163,0.84803325,1,4,4
45,103,67,0.89651644,0.84079456,1,6,4
46,107,69,0.8962836,0.84043646,1,6,4
47,98,76,0.89462256,0.8378809,1,6,4
48,91,90,0.8937229,0.83649683,1,5,5
49,91,69,0.8914579,0.83301216,1,5,4
50,79,59,0.88935864,0.82978255,1,4,3
51,105,71,0.88675606,0.8257786,1,6,4
52,93,69,0.8863106,0.82509315,1,5,4
53,84,83,0.88539433,0.82368356,1,5,5
54,85,82,0.8846414,0.82252526,1,5,5
55,92,83,0.88450575,0.82231665,1,5,5
56,92,58,0.8837979,0.8212275,1,5,3
57,86,83,0.88360703,0.820934,1,5,5
58,78,88,0.8808477,0.8166887,1,4,5
59,84,76,0.8801738,0.81565213,1,5,4
60,76,61,0.87904835,0.81392056,1,4,3
61,107,83,0.8789321,0.8137418,1,6,5
62,148,166,0.87852144,0.81311,1,9,10
63,79,71,0.87649775,0.8099965,1,4,4
64,100,83,0.8762225,0.8095731,1,6,5
65,88,67,0.8759264,0.8091176,1,5,4
66,78,77,0.875862,0.8090185,1,4,4
67,77,69,0.8757726,0.80888087,1,4,4
68,96,73,0.87467027,0.807185,1,6,4
69,95,73,0.8736074,0.8055498,1,5,4
70,70,81,0.87211716,0.8032573,1,4,5
71,102,66,0.8706229,0.80095834,1,6,4
72,85,95,0.87061894,0.80095226,1,5,5
73,106,82,0.86953247,0.7992807,1,6,5
74,70,76,0.8672843,0.79582196,1,4,4
75,72,76,0.8660753,0.79396194,1,4,4
76,86,77,0.8660269,0.7938875,1,5,4
77,100,93,0.8660078,0.7938581,1,6,5
78,86,76,0.86427534,0.79119295,1,5,4
79,93,83,0.86331654,0.78971785,1,5,5
80,103,80,0.8630413,0.78929424,1,6,5
81,70,82,0.8626218,0.788649,1,4,5
82,72,83,0.8621676,0.7879501,1,4,5
83,98,65,0.8617103,0.7872467,1,6,4
84,84,77,0.86155653,0.7870101,1,5,4
85,96,74,0.86150575,0.78693193,1,6,4
86,70,80,0.8611282,0.7863511,1,4,5
87,69,79,0.8610407,0.7862165,1,4,4
88,78,76,0.860399,0.78522927,1,4,4
89,106,88,0.860376,0.78519386,1,6,5
90,93,58,0.8597648,0.78425366,1,5,3
91,103,68,0.8591567,0.78331816,1,6,4
92,96,86,0.858881,0.78289384,1,6,5
93,78,83,0.85874295,0.78268147,1,4,5
94,103,66,0.85861564,0.78248566,1,6,4
95,92,77,0.8581492,0.7817681,1,5,4
96,98,83,0.8571944,0.7802992,1,6,5
