item,value
stage,freeze_current_accepted_pipeline
payload_length_bits,4096
candidate_count,10330
used_suitability_quantile,0.75
core_count,2867
topup_count,1229
mse,0.0311737060546875
psnr_db,63.192919248591615
ber,0.0
selected_basis_match_ratio,1.0
mean_utility_selected,0.5940642356872559
mean_suitability_selected,0.37548351287841797
changed_pixels_all,2043
fraction_pixels_changed_all,0.0311737060546875
positive_changes,1021
negative_changes,1022
signed_change_sum,-1
signed_change_imbalance_ratio,0.0004894762604013706
