item,value
stage,candidate_pruned_spatial_selection
payload_length_bits,4096
cover_capacity_pixels,65536
payload_rate,0.0625
alpha_suitability_weight,0.65
beta_basis_weight,0.35
border_margin,8
block_size,16
suitability_quantile,0.75
candidate_count,10330
mean_utility_selected,0.5786603843225748
mean_utility_global,0.35292306542396545
mean_suitability_selected,0.35178522801288636
mean_suitability_global,0.15599682927131653
basis_match_selected,1.0
basis_match_global,0.7186431884765625
fraction_pixels_selected,0.0625
