item,value
stage,candidate_pruned_hybrid_selector_comparison
payload_length_bits,4096
candidate_count,10330
block_size,16
temperature_prob,0.12
temperature_hybrid,0.12
regularized_mean_utility_selected,0.5786603689193726
prob_mean_utility_selected,0.6029424667358398
hybrid_mean_utility_selected,0.5584771633148193
regularized_mean_suitability_selected,0.35178521275520325
prob_mean_suitability_selected,0.3891422152519226
hybrid_mean_suitability_selected,0.3207341134548187
regularized_basis_match_selected,1.0
prob_basis_match_selected,1.0
hybrid_basis_match_selected,1.0
regularized_max_block_count,77
prob_max_block_count,162
hybrid_max_block_count,77
regularized_std_block_count,20.52646919224054
prob_std_block_count,30.032664508831047
hybrid_std_block_count,20.52646919224054
regularized_min_block_count,0
prob_min_block_count,0
hybrid_min_block_count,0
