cover_index,cover_name,original_height,original_width,processed_height,processed_width
1,00000.png,128,128,256,256
2,00001.png,128,128,256,256
3,00002.png,128,128,256,256
4,00003.png,128,128,256,256
5,00004.png,128,128,256,256
6,00005.png,128,128,256,256
7,00006.png,128,128,256,256
8,00010.png,128,128,256,256
9,00011.png,128,128,256,256
10,00012.png,128,128,256,256
11,00013.png,128,128,256,256
12,00014.png,128,128,256,256
13,00015.png,128,128,256,256
14,00016.png,128,128,256,256
15,00020.png,128,128,256,256
16,00021.png,128,128,256,256
17,00022.png,128,128,256,256
18,00023.png,128,128,256,256
19,00024.png,128,128,256,256
20,00025.png,128,128,256,256
21,00026.png,128,128,256,256
