split_index,train_size,test_size,test_auc,test_accuracy
1,28,14,0.7551020408163266,0.7142857142857143
2,28,14,0.836734693877551,0.7857142857142857
3,28,14,0.7142857142857143,0.6428571428571429
4,28,14,0.7346938775510203,0.6428571428571429
5,28,14,0.7959183673469388,0.7857142857142857
6,28,14,0.7755102040816327,0.7857142857142857
7,28,14,0.7755102040816327,0.7142857142857143
8,28,14,0.8163265306122449,0.7142857142857143
9,28,14,0.7346938775510203,0.6428571428571429
10,28,14,0.7959183673469388,0.7142857142857143
11,28,14,0.6530612244897959,0.6428571428571429
12,28,14,0.6938775510204082,0.7142857142857143
13,28,14,0.7959183673469388,0.6428571428571429
14,28,14,0.7142857142857143,0.7857142857142857
15,28,14,0.7346938775510204,0.6428571428571429
16,28,14,0.7142857142857142,0.7857142857142857
17,28,14,0.7755102040816326,0.7857142857142857
18,28,14,0.7142857142857143,0.5714285714285714
19,28,14,0.7551020408163266,0.7857142857142857
20,28,14,0.8775510204081632,0.7857142857142857
21,28,14,0.7755102040816326,0.7142857142857143
22,28,14,0.7755102040816326,0.6428571428571429
23,28,14,0.7755102040816326,0.5714285714285714
24,28,14,0.7346938775510203,0.7142857142857143
25,28,14,0.7142857142857143,0.5714285714285714
26,28,14,0.8979591836734694,0.9285714285714286
27,28,14,0.7551020408163265,0.7857142857142857
28,28,14,0.7551020408163265,0.6428571428571429
29,28,14,0.7142857142857143,0.7142857142857143
30,28,14,0.7755102040816326,0.7142857142857143
31,28,14,0.7755102040816326,0.6428571428571429
32,28,14,0.7755102040816326,0.5
33,28,14,0.7551020408163265,0.7142857142857143
34,28,14,0.7755102040816326,0.8571428571428571
35,28,14,0.7755102040816326,0.7857142857142857
36,28,14,0.7959183673469388,0.7857142857142857
37,28,14,0.6938775510204082,0.5714285714285714
38,28,14,0.7551020408163265,0.7857142857142857
39,28,14,0.6938775510204082,0.6428571428571429
40,28,14,0.7346938775510203,0.6428571428571429
41,28,14,0.8571428571428571,0.7857142857142857
42,28,14,0.7959183673469388,0.8571428571428571
43,28,14,0.7959183673469388,0.6428571428571429
44,28,14,0.8775510204081632,0.7857142857142857
45,28,14,0.8979591836734694,0.8571428571428571
46,28,14,0.7551020408163265,0.6428571428571429
47,28,14,0.6938775510204082,0.6428571428571429
48,28,14,0.7346938775510204,0.7857142857142857
49,28,14,0.7551020408163265,0.7857142857142857
50,28,14,0.7755102040816326,0.6428571428571429
51,28,14,0.7959183673469388,0.7857142857142857
52,28,14,0.7346938775510203,0.6428571428571429
53,28,14,0.8163265306122449,0.7857142857142857
54,28,14,0.6938775510204082,0.6428571428571429
55,28,14,0.7959183673469388,0.7142857142857143
56,28,14,0.7346938775510204,0.7857142857142857
57,28,14,0.7551020408163265,0.7142857142857143
58,28,14,0.7142857142857143,0.7857142857142857
59,28,14,0.7551020408163265,0.7142857142857143
60,28,14,0.7346938775510203,0.6428571428571429
61,28,14,0.7346938775510204,0.7142857142857143
62,28,14,0.7346938775510204,0.6428571428571429
63,28,14,0.6734693877551021,0.6428571428571429
64,28,14,0.7346938775510204,0.7142857142857143
65,28,14,0.9183673469387754,0.8571428571428571
66,28,14,0.8163265306122449,0.7142857142857143
67,28,14,0.8163265306122448,0.7857142857142857
68,28,14,0.8163265306122448,0.7142857142857143
69,28,14,0.6938775510204082,0.7857142857142857
70,28,14,0.7755102040816327,0.7142857142857143
71,28,14,0.7551020408163265,0.7142857142857143
72,28,14,0.836734693877551,0.7142857142857143
73,28,14,0.7142857142857143,0.6428571428571429
74,28,14,0.7551020408163265,0.7142857142857143
75,28,14,0.7959183673469388,0.7857142857142857
76,28,14,0.8571428571428572,0.7142857142857143
77,28,14,0.6938775510204082,0.7142857142857143
78,28,14,0.7346938775510203,0.5714285714285714
79,28,14,0.6938775510204082,0.7142857142857143
80,28,14,0.7755102040816326,0.6428571428571429
81,28,14,0.7346938775510204,0.6428571428571429
82,28,14,0.7142857142857143,0.5714285714285714
83,28,14,0.7142857142857143,0.7857142857142857
84,28,14,0.7959183673469388,0.7142857142857143
85,28,14,0.7142857142857143,0.7142857142857143
86,28,14,0.7755102040816326,0.7142857142857143
87,28,14,0.7142857142857143,0.7142857142857143
88,28,14,0.7551020408163266,0.6428571428571429
89,28,14,0.7755102040816326,0.7857142857142857
90,28,14,0.7755102040816326,0.7142857142857143
91,28,14,0.6734693877551021,0.5
92,28,14,0.7346938775510203,0.5714285714285714
93,28,14,0.6938775510204083,0.7142857142857143
94,28,14,0.7755102040816326,0.6428571428571429
95,28,14,0.7755102040816326,0.7142857142857143
96,28,14,0.6938775510204082,0.7142857142857143
97,28,14,0.7755102040816326,0.7142857142857143
98,28,14,0.8775510204081634,0.5714285714285714
99,28,14,0.7551020408163266,0.7142857142857143
100,28,14,0.9183673469387754,0.5714285714285714
