item,value
stage,topup_hybrid_selector_comparison
payload_length_bits,4096
candidate_count,10330
block_size,16
core_fraction,0.7
core_count,2867
topup_count,1229
temperature_topup,0.12
regularized_mean_utility_selected,0.5786603689193726
prob_mean_utility_selected,0.6008075475692749
topup_hybrid_mean_utility_selected,0.5981731414794922
regularized_mean_suitability_selected,0.35178521275520325
prob_mean_suitability_selected,0.38585782051086426
topup_hybrid_mean_suitability_selected,0.3818049430847168
regularized_basis_match_selected,1.0
prob_basis_match_selected,1.0
topup_hybrid_basis_match_selected,1.0
regularized_max_block_count,77
prob_max_block_count,155
topup_hybrid_max_block_count,122
regularized_std_block_count,20.52646919224054
prob_std_block_count,29.498543396242464
topup_hybrid_std_block_count,26.711567016931074
regularized_min_block_count,0
prob_min_block_count,0
topup_hybrid_min_block_count,0
